Principal Component,Explained Variance,Top Features
PC1,0.3809140133554059,"ENC1_POS|1, ENC2_POS|1, ENC_POS|1, CTRL_POS|1"
PC2,0.19831455492957306,"VEL_FFW|3, VEL_FFW|2, CMD_SPEED|3, CMD_SPEED|2"
PC3,0.1545740605117319,"TORQUE_FFW|1, TORQUE_FFW|2, CTRL_DIFF|1, TORQUE_FFW|3"
PC4,0.06744003083787474,"ENC_POS|6, ENC1_POS|6, CTRL_POS|6, DES_POS|6"
PC5,0.03715572260714159,"CONT_DEV|6, CTRL_DIFF|6, TORQUE|2, LOAD|2"
PC6,0.028588874331862885,"TORQUE_FFW|6, TORQUE|6, TORQUE|1, LOAD|2"
PC7,0.0222790460896978,"TORQUE|1, LOAD|3, LOAD|1, TORQUE|3"
PC8,0.01998734510776031,"TORQUE|2, TORQUE|1, CONT_DEV|2, LOAD|6"
PC9,0.016408731193618905,"TORQUE|1, LOAD|6, TORQUE|2, LOAD|2"
PC10,0.015433550073833995,"LOAD|2, LOAD|6, CONT_DEV|2, LOAD|1"
PC11,0.013255392684052106,"LOAD|6, TORQUE|2, LOAD|1, TORQUE_FFW|6"
PC12,0.009466069880219872,"CONT_DEV|2, CONT_DEV|3, LOAD|1, TORQUE_FFW|2"
PC13,0.008015215189292855,"LOAD|1, CONT_DEV|2, LOAD|2, TORQUE|1"
PC14,0.007455704015092326,"CONT_DEV|3, LOAD|1, LOAD|2, CONT_DEV|2"
PC15,0.0059974845829498784,"TORQUE|6, TORQUE_FFW|6, LOAD|6, CONT_DEV|2"
PC16,0.004707045825286766,"CONT_DEV|1, TORQUE_FFW|1, TORQUE_FFW|2, LOAD|3"
PC17,0.0035835974065311156,"TORQUE_FFW|3, CONT_DEV|1, TORQUE_FFW|2, DES_POS|2"
