dataset,train_accuracy,test_accuracy,train_f1,test_f1
Data1_Classes.csv RF,1.0,0.5360429823625887,1.0,0.548778301814071
Data1_Classes.csv XGB,1.0,0.5360429823625887,1.0,0.548778301814071
Data2_Classes.csv RF,1.0,0.6332821009723011,1.0,0.507158948399435
Data2_Classes.csv XGB,1.0,0.6332821009723011,1.0,0.507158948399435
Data3_Classes.csv RF,1.0,0.715194721629268,1.0,0.639092721889328
Data3_Classes.csv XGB,1.0,0.715194721629268,1.0,0.639092721889328
Data4_Classes.csv RF,1.0,0.6234776632302406,1.0,0.5310141672605921
Data4_Classes.csv XGB,1.0,0.6234776632302406,1.0,0.5310141672605921
Data5_Classes.csv RF,1.0,0.5838741299872562,1.0,0.5816257916197901
Data5_Classes.csv XGB,1.0,0.5838741299872562,1.0,0.5816257916197901
Data6_Classes.csv RF,1.0,1.0,1.0,1.0
Data6_Classes.csv XGB,1.0,1.0,1.0,1.0
Data7_Classes.csv RF,1.0,0.680496942656455,1.0,0.6640767365040819
Data7_Classes.csv XGB,1.0,0.680496942656455,1.0,0.6640767365040819
Data8_Classes.csv RF,1.0,0.9294023145806682,1.0,0.8953950721632021
Data8_Classes.csv XGB,1.0,0.9294023145806682,1.0,0.8953950721632021
